strain	accession	segment	date	host	country	subtype	virus
sadBatch793_1_var02	LN713571	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_2_var01	LN713572	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_2_var02	LN713573	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_2_var03	LN713574	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_2_var04	LN713575	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_3_var01	LN713576	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_3_var02	LN713577	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_3_var03	LN713578	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_3_var04	LN713579	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_4_var01	LN713580	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_4_var02	LN713581	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_4_var03	LN713582	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_4_var04	LN713583	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_5_var01	LN713584	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_5_var02	LN713585	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch793_5_var03	LN713586	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_1_var01	LN713587	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_1_var02	LN713588	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_1_var05	LN713589	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_1_var06	LN713590	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var01	LN713591	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var02	LN713592	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var03	LN713593	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var04	LN713594	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var05	LN713595	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_2_var06	LN713596	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_3_var01	LN713597	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_3_var02	LN713598	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_3_var03	LN713599	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_4_var01	LN713600	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_4_var02	LN713601	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var01	LN713602	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var02	LN713603	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var03	LN713604	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var04	LN713605	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var05	LN713606	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBatch806_5_var06	LN713607	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_1_var01	LN713608	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_1_var02	LN713609	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_1_var03	LN713610	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_1_var04	LN713611	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_2_var01	LN713612	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_2_var02	LN713613	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_2_var03	LN713614	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var01	LN713615	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var02	LN713616	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var03	LN713617	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var04	LN713618	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var05	LN713619	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var06	LN713620	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var07	LN713621	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_3_var08	LN713622	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_4_var01	LN713623	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_4_var02	LN713624	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_4_var03	LN713625	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_5_var01	LN713626	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_5_var02	LN713627	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_5_var03	LN713628	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadBernO_5_var04	LN713629	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadERAtueb_1_var01	LN713630	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadERAtueb_2_var01	LN713631	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadERAtueb_3_var01	LN713632	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadERAtueb_4_var01	LN713633	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadERAtueb_5_var01	LN713634	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_1_var01	LN713635	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_1_var02	LN713636	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_2_var01	LN713637	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_2_var02	LN713638	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_3_var01	LN713639	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_3_var02	LN713640	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_3_var03	LN713641	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_3_var04	LN713642	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_4_var01	LN713643	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_4_var02	LN713644	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_5_var01	LN713645	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadLysvulpen0609_5_var02	LN713646	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadP588_1_var01	LN713647	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadP588_2_var01	LN713648	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadP588_3_var01	LN713649	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadP588_4_var01	LN713650	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadP588_5_var01	LN713651	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadVA1tueb_1_var01	LN713652	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadVA1tueb_2_var01	LN713653	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadVA1tueb_3_var01	LN713654	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadVA1tueb_4_var01	LN713655	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadVA1tueb_5_var01	LN713656	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadWistar_1_var01	LN713657	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadWistar_2_var01	LN713658	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadWistar_3_var01	LN713659	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadWistar_4_var01	LN713660	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sadWistar_5_var01	LN713661	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_1_var01	LN713662	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_1_var02	LN713663	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_2_var01	LN713664	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_3_var01	LN713665	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_3_var02	LN713666	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_4_var01	LN713667	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_4_var02	LN713668	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_5_var01	LN713669	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sag2BatchF04_5_var02	LN713670	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
sub5790	KY860598	NA	2014-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
sub5791	KY860599	NA	2014-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
sub5792	KY860600	NA	2014-XX-XX	Fox	Turkey	NA	Rabies_lyssavirus
